tool_name,cpu_core,cpu_memory_mb,gpu_memory_mb,network_bandwidth_mbps,input_size,latency,status
localization_node,0.12,96,0,0.0,small,12277,success
localization_node,0.12,96,0,0.0,medium,14357,success
localization_node,0.12,96,0,0.0,large,17561,success
localization_node,0.24,128,0,0.0,small,8572,success
localization_node,0.24,128,0,0.0,medium,9385,success
localization_node,0.24,128,0,0.0,large,10888,success
localization_node,0.45,160,0,0.0,small,5403,success
localization_node,0.45,160,0,0.0,medium,6679,success
localization_node,0.45,160,0,0.0,large,7577,success
pointcloud_to_laserscan_node,0.3,128,0,0.0,small,20318,success
pointcloud_to_laserscan_node,0.3,128,0,0.0,medium,23757,success
pointcloud_to_laserscan_node,0.3,128,0,0.0,large,25552,success
pointcloud_to_laserscan_node,0.55,192,0,0.0,small,13294,success
pointcloud_to_laserscan_node,0.55,192,0,0.0,medium,14424,success
pointcloud_to_laserscan_node,0.55,192,0,0.0,large,16974,success
pointcloud_to_laserscan_node,0.9,256,0,0.0,small,8959,success
pointcloud_to_laserscan_node,0.9,256,0,0.0,medium,10582,success
pointcloud_to_laserscan_node,0.9,256,0,0.0,large,12460,success
navigation_algo_node,0.6,160,0,0.0,small,20542,success
navigation_algo_node,0.6,160,0,0.0,medium,26155,success
navigation_algo_node,0.6,160,0,0.0,large,31428,success
navigation_algo_node,1.0,256,0,0.0,small,13792,success
navigation_algo_node,1.0,256,0,0.0,medium,15293,success
navigation_algo_node,1.0,256,0,0.0,large,18782,success
navigation_algo_node,1.5,320,0,0.0,small,9646,success
navigation_algo_node,1.5,320,0,0.0,medium,10899,success
navigation_algo_node,1.5,320,0,0.0,large,14353,success
text_translation,0.25,128,0,0.0,small,298383,success
text_translation,0.25,128,0,0.0,medium,353826,success
text_translation,0.25,128,0,0.0,large,396112,success
text_translation,0.5,256,0,0.0,small,144433,success
text_translation,0.5,256,0,0.0,medium,161900,success
text_translation,0.5,256,0,0.0,large,188236,success
text_translation,1.0,384,0,0.0,small,72800,success
text_translation,1.0,384,0,0.0,medium,80943,success
text_translation,1.0,384,0,0.0,large,104067,success
text_to_speech,0.4,192,256,0.0,small,1008032,success
text_to_speech,0.4,192,256,0.0,medium,1258637,success
text_to_speech,0.4,192,256,0.0,large,1520619,success
text_to_speech,0.75,256,512,0.0,small,519790,success
text_to_speech,0.75,256,512,0.0,medium,642118,success
text_to_speech,0.75,256,512,0.0,large,692949,success
text_to_speech,1.2,384,1024,0.0,small,289641,success
text_to_speech,1.2,384,1024,0.0,medium,318951,success
text_to_speech,1.2,384,1024,0.0,large,419878,success
object_detection,0.5,256,256,0.0,small,781094,success
object_detection,0.5,256,256,0.0,medium,882361,success
object_detection,0.5,256,256,0.0,large,1154179,success
object_detection,1.0,384,768,0.0,small,360387,success
object_detection,1.0,384,768,0.0,medium,389697,success
object_detection,1.0,384,768,0.0,large,485022,success
object_detection,1.5,512,1536,0.0,small,198032,success
object_detection,1.5,512,1536,0.0,medium,244143,success
object_detection,1.5,512,1536,0.0,large,264557,success
image_captioning,0.5,256,256,0.0,small,1638678,success
image_captioning,0.5,256,256,0.0,medium,1981742,success
image_captioning,0.5,256,256,0.0,large,2389347,success
image_captioning,1.0,384,768,0.0,small,719174,success
image_captioning,1.0,384,768,0.0,medium,772612,success
image_captioning,1.0,384,768,0.0,large,947929,success
image_captioning,1.5,512,1536,0.0,small,405217,success
image_captioning,1.5,512,1536,0.0,medium,494210,success
image_captioning,1.5,512,1536,0.0,large,559213,success
